Trial,Detect_Success,Detect_Time(ms),Confidence,Grasp_Success,Motion_Time(ms),Grip_Width
1,1,2078.66,0.4843,1,13121.48,29.5000
2,1,1261.82,0.4821,1,13332.84,29.4000
3,1,1260.55,0.5159,1,13038.21,29.1000
4,1,1242.24,0.4306,1,13061.32,29.2000
5,1,1273.31,0.3850,1,13019.93,29.2000
6,0,3015.30,0.0000,1,9082.06,110.6000
7,1,1309.73,0.7097,1,12787.61,110.6000
8,1,1240.86,0.7622,1,12758.45,110.6000
1,1,2067.64,0.6847,1,12742.20,35.6000
2,1,1254.46,0.7980,1,13850.00,30.9000
3,0,3009.37,0.0000,1,2018.52,33.6000
1,1,2077.23,0.9319,1,13129.05,110.6000
2,1,1247.89,0.9377,1,13049.75,110.6000
3,1,1262.85,0.9280,1,13034.96,110.6000
4,1,1239.77,0.9304,1,13061.97,110.6000
5,1,1275.30,0.9360,1,13126.07,110.6000
6,1,1262.60,0.9364,1,13034.23,110.6000
7,1,1248.34,0.9331,1,13048.85,110.6000
8,1,1255.42,0.9328,1,13042.81,110.6000
9,1,1259.39,0.9344,1,13037.91,110.6000
10,1,1254.98,0.9240,1,13045.75,110.6000
11,1,1266.25,0.9192,1,13131.92,110.6000
12,1,1245.58,0.9302,1,13050.00,110.6000
13,1,1244.68,0.9262,1,13056.16,110.6000
14,1,1251.35,0.9342,1,13051.16,110.6000
15,1,1258.16,0.9222,1,13042.70,110.6000
16,1,1261.61,0.9246,1,13037.09,110.6000
17,1,1240.89,0.9249,1,13064.25,110.6000
18,1,1257.49,0.9369,1,13042.71,110.6000
19,1,1234.93,0.9284,1,13066.77,110.6000
20,1,1243.97,0.9205,1,13054.84,110.6000
21,1,1263.32,0.9363,1,13039.99,110.6000
22,1,1252.38,0.9309,1,13042.61,110.6000
23,1,1265.90,0.9310,1,13129.63,110.6000
24,1,1268.33,0.9230,1,13038.23,110.6000
25,1,1246.23,0.9330,1,13053.51,110.6000
26,1,1265.45,0.9290,1,13036.63,110.6000
27,1,1265.94,0.9250,1,13132.65,110.6000
28,1,1242.89,0.9108,1,13048.20,110.6000
29,1,1244.08,0.9325,1,13060.58,110.6000
30,1,1238.80,0.9379,1,13063.46,110.6000
31,1,1254.72,0.9079,1,13048.44,110.6000
32,1,1240.05,0.9246,1,13061.31,110.6000
33,1,1253.42,0.9268,1,13044.33,110.6000
34,1,1266.23,0.9239,1,13133.50,110.6000
35,1,1249.07,0.9286,1,13047.66,110.6000
36,1,1254.39,0.9119,1,13042.08,110.6000
37,1,1251.95,0.9230,1,13053.72,110.6000
38,1,1239.70,0.9258,1,13057.81,110.6000
39,1,1259.63,0.9122,1,13041.09,110.6000
40,1,1245.09,0.9290,1,13059.93,110.6000
41,1,1262.07,0.9129,1,13035.60,110.6000
42,1,1269.29,0.9213,1,13134.38,110.6000
43,1,1243.44,0.9114,1,13057.95,110.6000
44,1,1252.23,0.9237,1,13052.57,110.6000
45,1,1237.38,0.9297,1,13062.08,110.6000
46,1,1261.36,0.9154,1,13038.99,110.6000
47,1,1265.19,0.9042,1,13130.13,110.6000
48,1,1243.46,0.9132,1,13058.44,110.6000
49,1,1250.99,0.9278,1,13051.18,110.6000
50,1,1258.68,0.9114,1,13040.02,110.6000
51,1,1248.30,0.9230,1,13053.10,110.6000
52,1,1257.59,0.9041,1,13047.86,110.6000
53,1,1237.13,0.9076,1,13063.14,110.6000
54,1,1258.26,0.9258,1,13045.86,110.6000
55,1,1265.77,0.9192,1,13135.55,110.6000
56,1,1239.27,0.9105,1,13059.85,110.6000
57,1,1250.93,0.9334,1,13050.34,110.6000
58,1,1276.75,0.9156,1,13123.92,110.6000
59,1,1254.25,0.9144,1,13047.15,110.6000
60,1,1252.98,0.9124,1,13045.61,110.6000
61,1,1241.63,0.9252,1,13060.85,110.6000
62,1,1272.55,0.9208,1,13130.17,110.6000
63,1,1271.01,0.9194,1,13128.39,110.6000
64,1,1258.51,0.9239,1,13042.30,110.6000
65,1,1252.40,0.9051,1,13045.35,110.6000
66,1,1242.80,0.9183,1,13058.72,110.6000
67,1,1269.16,0.9265,1,13134.43,110.6000
68,1,1259.13,0.9266,1,13041.67,110.6000
69,1,1257.05,0.9170,1,13048.96,110.6000
70,1,1260.01,0.9156,1,13044.07,110.6000
71,1,1257.13,0.9067,1,13047.24,110.6000
72,1,1246.95,0.9082,1,13056.40,110.6000
73,1,1254.09,0.9204,1,13044.88,110.6000
74,1,1266.92,0.9109,1,13129.71,110.6000
75,1,1250.82,0.9178,1,13047.52,110.6000
76,1,1231.75,0.9247,1,13068.86,110.6000
77,1,1266.22,0.9181,1,13035.56,110.6000
78,1,1252.84,0.9241,1,13046.77,110.6000
79,1,1239.40,0.9112,1,13069.45,110.6000
80,1,1255.19,0.9074,1,13044.79,110.6000
81,1,1256.72,0.9311,1,13043.87,110.6000
82,1,1241.90,0.9161,1,13056.50,110.6000
83,1,1263.18,0.9147,1,13041.16,110.6000
84,1,1240.47,0.9209,1,13063.58,110.6000
85,1,1246.07,0.9187,1,13059.94,110.6000
86,1,1271.60,0.9288,1,13128.29,110.6000
87,1,1253.62,0.9279,1,13049.11,110.6000
88,1,1246.76,0.9258,1,13055.98,110.6000
89,1,1253.94,0.9244,1,13047.74,110.6000
90,1,1249.34,0.9194,1,13050.71,110.6000
91,1,1244.95,0.9210,1,13061.19,110.6000
92,1,1239.67,0.9293,1,13063.28,110.6000
93,1,1253.15,0.9172,1,13046.58,110.6000
94,1,1262.56,0.9261,1,13043.34,110.6000
95,1,1263.29,0.9219,1,13037.25,110.6000
96,1,1271.64,0.9145,1,13134.36,110.6000
97,1,1256.94,0.9214,1,13048.22,110.6000
98,1,1246.02,0.9238,1,13108.66,110.6000
99,1,1266.76,0.9284,1,13107.47,110.6000
100,1,1252.54,0.9104,1,13112.23,110.6000
